,Token Name,Token Symbol,Title,Percent
268,Tempus,TEMP,"['Community', 'Team', 'Investors & Advisors']","[52, 26, 22]"
279,Lithium Finance,LITH,"['Seed', 'Strategic Round 1', 'Strategic Round 2 ', 'Public', 'Team', 'Advisor', 'Liquidity', 'Ecosystem', 'Community ', 'Staking Reward']","[4.5, 7, 7.5, 1, 10, 5, 10, 15, 10, 30]"
290,MakiSwap,MAKI,"['Seed Round', 'Private Round A', 'Private Round B', 'Seed SHO', 'Airdrop', 'Liquidity Provision', 'Farming', 'Team', 'Burn']","[4.25, 9.15, 1.22, 0.76, 2.28, 2.28, 65.04, 7.5, 7.5]"
291,Xend Finance,XEND,"['Public Sale ', 'Strategic Round', 'Ecosystem', 'Private Sale', 'Developers & Community', 'Staking ', 'Seed Round', 'Pre-Seed Round', 'Team', 'Foundation']","[1.33, 11.11, 10, 3.38, 8, 14, 10, 10, 14, 18.18]"
292,Splyt,SHOPX,"['Advisors', 'DEX Liquidity & MM', 'Liquidity Provider', 'Ecosystem & Referrals', 'Research Foundation', 'Team', 'Private Sale', 'Staking Rewards Pool', 'General Reserve']","[5, 1, 1, 22, 20, 15, 18, 10, 8]"
294,Tixl,MTXLT,"['Token sale', 'Tixl Nodes', 'Regulated Exchange Listings', 'Developer Bounties', 'Marketing Bounties', 'Founders', 'Advisory Board', 'Airdrop']","[65, 10, 7.5, 5, 5, 5, 1.5, 1]"
298,Roseon Finance,ROSN,"['Reserve', 'Total Investment', 'Pool & Mining Rewards', 'Marketing & Community', 'Team & Advisors', 'Partnerships']","[10, 20, 20, 20, 20, 10]"
305,TrustPad,TPAD,"['Liquidity', 'Team', 'Marketing / Partnerships / Advisors', 'LP Staking Rewards', 'Development', 'Advisors', 'DEEP Airdrops', 'Black Hole', 'Seed', 'Private Sale', 'Public Sale']","[10, 4, 10, 10, 7, 5, 8, 2, 12, 25, 5]"
307,Divergence,DIVER,"['Seed round', 'Private round', 'Strategic round', 'Public round', 'Community rewards', 'Reserves', 'Ecosystem fund', 'Developers & Early Backers', 'Liquidity Provision Fund']","[5, 8, 2, 2, 34, 20, 10, 15, 4]"
308,Polytrade,TRADE,"['Public Round', 'Ecosystem Partners & Advisors', 'Private Round', 'Seed Round', 'Strategic Round', 'Team', 'Marketing & Ecosystem/LP  Rewards', 'Community  Incentivization']","[1.33, 4, 7.5, 7.5, 3.25, 17, 20, 39.42]"
309,BlockBank,BBANK,"['Private Sale', 'Public Sale', 'Floating Liquidity', 'Team & Advisors', 'Reserves', 'Staking / Farming Rewards', 'BSC Chain', 'Referrals']","[30.63, 5, 2.5, 17.5, 16.88, 8.75, 10, 8.75]"
310,Apricot,APT,"['Liquidity Mining', 'Private/Pre-Sale', 'Protocol Incentives&Ecosystem', 'Reserve&Treasury', 'Public Sale', 'Team & Advisors']","[40, 20, 10, 10, 4, 16]"
311,Drops,DOP,"['Private Sale', 'Public Sale', 'Initial Liquidity', 'Node Runners DAO', 'Team', 'Foundation Reserve', 'Advisory', 'Ecosystem Rewards']","[18.67, 2.22, 1.11, 2, 10, 10.5, 4.5, 50.63]"
313,Revault,REVA,"['Pre-sale', 'Liquidity locked for 2 years', 'Team', 'Strategic Seed investors ', 'Treasury', 'Liquidity providers', 'REVA DAO and Profit Share ', 'TVL Incentive Rewards ']","[2.5, 2.5, 15, 10, 10, 25, 20, 15]"
316,Sonar Watch,SONAR,"['Mining reserves', 'Investors', 'Team', 'Treasury', 'IDO', 'Others']","[40, 20, 20, 10, 5, 5]"
323,Defactor,FACTR,"['Token Sale', 'Staking Rewards', 'Ecosystem & Partnerships', 'Advisors & Contributors', 'Core Team', 'Launch Partners', 'Foundation']","[21.5, 25, 10, 6.5, 10, 4, 23]"
324,TribeOne,HAKA,"['Private Round', 'CrowdSale', 'Team', 'Advisors', 'Community Incentives & Rewards', 'Advisory, Legal & PR', 'Liquidity & Exchange Partnerships', 'Operational Expenses', 'Marketing Expenses', 'Bad Debt Risk Mitigation', 'Treasury']","[12.7, 1.38, 9.84, 2.81, 12.21, 4.25, 5.31, 11.15, 19.64, 10.62, 10.09]"
325,Waterfall DeFi,WTF,"['Community ', 'DAO Treasury', 'IDO', 'Partners and Product Development', 'Strategic Investors', 'Team']","[45, 13, 2, 20, 10, 10]"
326,Radar,RADAR,"['Seed', 'Private', 'Public', 'Foundation', 'Reserve', 'Team', 'Advisors', 'Liquidity']","[10, 15, 3, 20, 23.875, 20, 5, 3.125]"
334,ShoeFy,SHOE,"['Community / Marketing', 'Team & Advisors', 'ShoeFy Development', 'Early Contributors', 'Private rounds', 'Public sales', 'Liquidity / Ecosystem']","[20, 10, 15.5, 5, 12, 2.5, 35]"
338,Horizon Protocol,HZN,"['IFO', 'Liquidity Mining', 'Ecosystem & Community Fund.']","[10, 30, 60]"
339,Stone DeFi,STN,"['Token Sale', 'Marketing & Partnership', 'Protocol Reserve', 'Technology Development', 'Yield Farming Reserve', 'Community Contributors']","[12, 2, 12, 15, 55, 3]"
343,Polylastic,POLX,"['Ecosystem', 'Foundation', 'Token Sale', 'Liquidity ', 'Partnership & Advisors']","[25, 20, 40, 3, 12]"
344,RocketX,RVF,"['Operations', 'Marketing', 'Advisors', 'Development', 'Pre-Seed Round', 'Seed Round', 'Strategic Round', 'Private Round', 'Public Round', 'Staking Rewards', 'Exchange Liquidity']","[7.5, 7.5, 6, 12, 16, 17, 5, 5, 3, 5, 3.5]"
349,xHashtag,XTAG,"['Reward', 'Foundation', 'Advisors', 'Strategic Partners', 'Team', 'Marketing', 'Liquidity', 'Public Sale', 'Private/Pre-Sale', 'Seed']","[35, 10, 5, 10, 10, 10, 3, 1, 10.8, 5.2]"
358,Cyclos,CYS,"['Seed sale', 'Strategic sale', 'Public sale', 'Team', 'Advisors', 'Liquidity rewards', 'Marketing', 'Serum staking', 'Initial liquidity', 'Ecosystem']","[6.2, 4.2, 1, 17, 3, 35, 5, 3.6, 5, 20]"
367,FantomStarter,FS,"['FS Grants', 'Liquidity', 'LP Mining', 'Advisors', 'Team', 'Marketing', 'Partnership', 'Fantom Foundation', 'Private/Pre-Sale', 'Public Sale', 'Seed Sale', 'Development']","[10, 5, 5, 3, 13, 10, 10, 1, 14, 3, 16, 10]"
368,YIN Finance,YIN,"['Seed sale', 'Private sale', 'Public sale', 'Team', 'Partner', 'Strategy (CHI) reward', 'Liquidity / Mining', 'Community Incentives ', 'Advisor', 'Airdrop']","[6, 10, 1, 12, 5, 22, 10, 30, 2, 2]"
374,Polkalokr,LKR,"['Private Sale', 'Public Sale', 'Liquidity', 'Team', 'Marketing', 'Staking Rewards', 'Development', 'Reserve', 'Strategic Partnerships', 'Advisors']","[20, 2, 2, 6, 13, 25, 7, 8, 10, 7]"
375,TrustFi Network,TFI,"['Ecological fund', 'Incentive for Users', 'Ecosystem Growth', 'TrustFi Vaults', 'Token Sale', 'Team', 'Advisors']","[6, 10, 20, 25, 19, 15, 5]"
381,FNDZ,FNDZ,"['Seed', 'Private Sale', 'Launchpad', 'Advisors', 'Team', 'Rewards', 'Treasury', 'Marketing']","[12, 20, 2, 6, 20, 10, 20, 10]"
384,BullPerks,BLP,"['Treasury ', 'Liquidity and Staking rewards', 'Token Sale', 'Team', 'Advisory', 'Foundation', 'Operations']","[27.5, 20, 19.5, 13, 5, 10, 5]"
389,iBuffer Token,IBFR,"['Seed sale', 'IDO', 'DAO allocation', 'Team', 'Treasury', 'Advisors', 'Ecosystem', 'Liquidity', 'rBFR farming pool', 'Rewards / airdrop']","[14, 11, 5, 10, 10, 10, 13.5, 20, 5, 1.5]"
391,CropperFinance,CRP,"['Ecosystem & community ', 'Team', 'Treasury', 'Raising supply', 'Liquidity', 'Airdrop']","[59, 20, 10, 7.2, 2, 0.8]"
399,Cook Protocol,COOK,"['Mining', 'Community Incentive & Airdrop', 'Early Community', 'Business & Media Partnership', 'Team ']","[60, 10, 10, 10, 10]"
402,YOP Finance,YOP,"['Private Sale', 'Liquidity Reserve', 'Future Token Sale', 'Team', 'Marketing / Airdrop', 'YOP Rewards', 'Advisors and Diplomats', 'Dev Pool', 'Reserve']","[12, 3, 15, 10, 15, 15, 10, 10, 10]"
409,Berry Data,BRY,"['IFO', 'Liquidity Mining', 'Ecosystem Fund', 'Team members and future employees.', 'Oracle Mining']","[16, 15, 23, 6, 40]"
411,Kalmar,KALM,"['IFO', 'Liquidity Mining', 'Private Sale Round', 'Partnerships and Ecosystem', 'Team', 'NFT Fundraiser']","[12.5, 59, 9, 9, 8.5, 2]"
412,Decubate,DCB,"['Community Rewards', 'Reserve', 'Partnerships', 'Team', 'Advisors', 'LP Rewards', 'Liquidity', 'Staking', 'Audits & Bounties', 'Seed', 'Strategic', 'Private', 'Public']","[25, 15, 10, 12, 5, 6, 5, 5, 2, 5, 5, 2.7, 2.3]"
416,Moda DAO,MODA,"['Private/Pre-Sale', 'Public Sale', 'Team', 'Partnership & Advisors', 'Community Incentives', 'Foundation/Rewards/Liquidity']","[23.46, 7.54, 8, 6, 12, 46]"
417,PolkaRARE,PRARE,"['Seed Round', 'Private Round A', 'Private Round B', 'IDO', 'Ecosystem Fund', 'Marketing / Grants / Partnerships', 'Advisors', 'Team', 'Company Reserve', 'Operations', 'Marketplace Mining & Staking', 'Exchanges & Liquidity']","[12.5, 12.5, 9.375, 2, 9.625, 10, 3, 12, 10, 4, 12, 3]"
424,NiiFi,NIIFI,"['Private Sale incl Strategic', 'Public', 'Future Potential Sale', 'Development Pool', 'Business Development', 'Marketing & Exchanges', 'Future Liquidity ', 'Team', 'Ecosystem Rewards Pool']","[12.2, 0.5, 6.8, 8.8, 10, 11.7, 10, 20, 20]"
426,YDragon,YDR,"['Team & Advisors', 'Treasury', 'Seed', 'Public Sale', 'Strategic', 'Liquidity Incentives ', 'Marketing Incentives', 'Community Incentives', 'Initial Testing Phase']","[15, 15, 8, 8, 15, 15, 15, 10, 3]"
427,Yield Protocol,YIELD,"['SHO', 'Team', 'Seed', 'Uniswap + LP Incentives', 'Marketing', 'Private Sale', 'Staking Rewards', 'Strategic Round']","[5.68, 17.86, 17.05, 11.65, 11.65, 5.97, 11.65, 18.47]"
428,LaunchX,LNCHX,"['DAO Reserve', 'Strategic Round', 'Private Round', 'Public Sale', 'Liquidity', 'Ecosystem DAO', 'Advisory Board', 'Development']","[15, 8, 9.5, 4, 17.5, 30, 8, 8]"
430,Genesis Shards,GS,"['Team', 'Advisors', 'Community', 'Exchanges & Market Making', 'Treasury', 'Ecosystem & Rewards', 'Dev Grant', 'Liquidity']","[12.5, 1.5, 17.3, 1.75, 14, 21.25, 9, 21.7]"
434,PERI Finance,PERI,"['Advisors', 'Marketing', 'Team', 'Company', 'Seed Private', 'Staking Rewards', 'Strategic Private', 'Public Sale']","[4, 10, 10, 10, 9, 45, 14, 1]"
435,Peanut,NUX,"['Airdrop', 'Sales', 'Community & Partnership', 'Further development', 'Team']","[15, 25, 25, 25, 10]"
437,CoreStarter,CSTR,"['Team & Partners', 'Advisors', 'Seed and private', 'Marketing & CEX', 'Development', 'Public sale', 'DEX liquidity', 'Staking & Rewards']","[16, 5, 24, 8, 7, 1, 3, 36]"
438,Yellow Road,ROAD,"['Seed', 'Strategic Partners Investors', 'Public / IDO', 'Liquidity & Staking Programs', 'Marketing', 'Res. Foundation', 'Team', 'Advisory']","[6.5, 24, 3.5, 19, 19, 15, 10, 3]"
443,Unvest,UNV,"['LCDs & Farming Rewards', 'Team', 'Advisory', 'Partnerships/ecosystem', 'Reserves', 'Angel round', 'Seed round', 'Private round', 'CardStarter', 'Floating liquidity', 'Uniswap main pool']","[21.5, 19.96, 4, 15, 14, 1.4, 4.44, 10.5, 2.5, 6, 0.7]"
447,Lepricon,L3P,"['Token Sale', 'Team & Advisors', 'Community and Staking Rewards', 'Development Team', 'Ecosystem and Partnerships Funds', 'Foundation']","[28, 18.5, 25, 4, 10, 14.5]"
451,BSClaunch,BSL,"['Seed Round', 'Private Sale', 'Public Sale', 'DEX / TGE', 'Team', 'Airdrop', 'Ecosystem / Incentives', 'Liquidity Pool Reward', 'Reserves', 'Marketing']","[8, 10, 1, 2, 15, 1, 11, 15, 15, 22]"
453,Amasa,AMAS,"['Seed round', 'Strategic round', 'CGO', 'Liquidity/ Strategic', 'DAO Growth Fund', 'Platform rewards', 'Platform builders', 'DAO Treasury']","[5, 15.63, 1.56, 5, 12, 35, 10.81, 15]"
454,DAOLaunch,DAL,"['Tokens for sale', 'Marketing / Staking reward', 'Liquidity / Exchanges', 'Team', 'Reserve / Treasury']","[35, 20, 8, 20, 18]"
460,HurricaneSwap Token,HCT,"['Yield Farming', 'Growth Fund', 'HurricaneAlliance', 'Team', 'Private 1', 'Private 2', 'Public sale (IDO)']","[60, 4, 10, 10, 11, 4, 1]"
465,Blind Boxes,BLES,"['Advisors', 'Foundation', 'Strategic Partnerships, CEX Listing', 'Marketing', 'Team ', 'Liquidity', 'Public Sale', 'Seed Sale', 'Public Sale']","[4.5, 5, 4, 5, 10, 1, 2, 5, 14]"
467,MatrixETF,MDF,"['Private Sale', 'Private+ Sale', 'IDO', 'Team', 'Advisor', 'Liquidity Pool', 'Community Ecosystem & Operations', 'Matrix Treasury']","[6.25, 2, 0.5, 15, 3, 1, 27.25, 45]"
469,DeHive,DHV,"['Team & Further Development', 'Liquidity Mining', 'Community / Incentivization / Partnerships', 'Company Reserve', 'IDO/IEO', 'Public Sale', 'Pre-Sale', 'Strategic Round', 'Seed Round']","[19.5, 15, 15, 20, 1.5, 10, 5, 6, 8]"
470,Yieldwatch,WATCH,"['IFO', 'Private Sale', 'Syrup Pool', 'Initial Liquidity', 'Marketing', 'Operations', 'Team', 'Reserve Cross-Chain Liquidity']","[40, 4, 3, 5, 12, 20, 10, 6]"
473,Libre DeFi,LIBRE,"['Reserve', 'Liquidity', 'Partnerships', 'Foundation', 'Advisors', 'Private/Pre-Sale', 'Public Sale', 'Liquidity Mining ']","[16.5, 5, 2.5, 20, 10, 19, 2, 25]"
478,Gourmet Galaxy,GUM,"['Team', 'Community', 'Advisors', 'Staking Reward', 'PR & Marketing', 'Private Sale', 'Public Distribution']","[15, 0.25, 5, 49.75, 2.5, 25, 2.5]"
479,Formation Fi,FORM,"['Seed Round', 'Private Round', 'Strategic Round', 'Ecosystem Round', 'Public Sale ', 'Reward Pool', 'Team', 'Liquidity', 'Advisors', 'Future Security & Maintenance of Network', 'Marketing', 'Ecosystem Development & Foundation', 'Treasury']","[5, 5, 5, 2, 0.83, 33, 25, 1.2, 2, 10, 1.97, 3, 6]"
481,Evanesco,EVA,"['Team', 'Miner', 'Validator', 'Seed', 'Private', 'IDO', 'Ecology', 'Community']","[15, 37, 3, 6, 7, 4, 14, 14]"
485,MultiPad,MPAD,"['Company reserve', 'Marketing, Staking Rewards and Ecosystem', 'Team', 'Liquidity', 'Public Token Sale', 'Partners']","[25, 20, 20, 10, 15, 10]"
494,Marnotaur,TAUR,"['Seed round', 'Private round', 'Liquidity', 'Team', 'Partnership & Advisors', 'Marketing', 'Ecosystem incentives ']","[6, 19, 20, 16, 5, 10, 24]"
496,HaloDAO,RNBW,"['Private Sale 1', 'Private Sale 2', 'Public Launch', 'Listing Budget', 'Ecosystem', 'Liquidity Rewards', 'Team']","[18, 6, 1, 5, 15, 35, 20]"
498,TosDis,DIS,"['DIS Auction', 'Foundation', 'Marketing', 'Advisors', 'Uniswap & Exchange Listing', 'Rewards Allocation']","[35, 10, 9, 1, 5, 40]"
